strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	PubUse
BA200901799	2009	"Sante Fe, NM"	35.686975	-105.937799	Third Pandemic	Unused
BA200901990	2009	"Edgewood, NM"	35.061436	-106.191414	Third Pandemic	Unused
BA200902009	2009	"Santa Fe, NM"	35.686975	-105.937799	Third Pandemic	Unused
Barcelona3031	1300-1420	"Spain, Barcelona"	41.385064	2.173403	Second Pandemic	Used
BolgarCity2370	1298-1388	"Russia, Bolgar City"	54.967082	49.034241	Second Pandemic	Used
C1975003	1975	"Qinghai, China"	33.03	96.97	Third Pandemic	Used
C1976001	1976	"Gansu, China"	38.46	94.25	Third Pandemic	Used
C1989001	1989	"Qinghai, China"	32.92	95.3	Third Pandemic	Used
C741	1999	"Russia: Dagestan, Kulinsky district"	41.942454	47.309124	Third Pandemic	Unused
C-791	2003	Dagestan	42.143189	47.09498	Third Pandemic	Unused
CA88-4125	1988	"California, USA"	36.778261	-119.417932	Third Pandemic	Used
Cadman	2016	"USA: Gallup, NM"	35.528078	-108.742584	Third Pandemic	Unused
CMCC02041	1965	"Qinghai, China"	38.2	100.22	Third Pandemic	Used
CMCC03001	1954	"Qinghai, China"	34.75	101.62	Third Pandemic	Used
CMCC05009	1961	"Qinghai, China"	35.6	99.99	Third Pandemic	Used
CMCC05013	1988	"Qinghai, China"	35.6	99.99	Third Pandemic	Used
CMCC10012	1964	"Qinghai, China"	36.89	100.99	Third Pandemic	Used
CMCC104003	1989	"Inner Mongolia, China"	43.97	120.05	Third Pandemic	Used
CMCC106002	1996	"Inner Mongolia, China"	44.55	120.87	Third Pandemic	Used
CMCC107004	2003	"Inner Mongolia, China"	41.9	114	Third Pandemic	Used
CMCC11001	1954	"Qinghai, China"	35.57	100.75	Third Pandemic	Used
CMCC114001	1952	"Fujian, China"	25.44	119	Third Pandemic	Used
CMCC12003	1961	"Qinghai, China"	37.37	101.62	Third Pandemic	Used
CMCC125002	1964	"Ningxia, China"	35.97	105.7	Third Pandemic	Used
CMCC18019	2001	"Qinghai, China"	33.35	97.12	Third Pandemic	Used
CMCC21106	2001	"Xinjiang, China"	39.7	75.18	Third Pandemic	Used
CMCC27002	1991	"Qinghai, China"	35.24	100.63	Third Pandemic	Used
CMCC31004	1990	"Tibet, China"	32.29	91.68	Third Pandemic	Used
CMCC347001	1996	"Tibet, China"	30.2	91.24	Third Pandemic	Used
CMCC348002	1998	"Tibet, China"	29.71	89.02	Third Pandemic	Used
CMCC38001	1979	"Xinjiang, China"	39.73	76.12	Third Pandemic	Used
CMCC42007	1967	"Xinjiang, China"	44.45	84.62	Third Pandemic	Used
CMCC43032	1980	"Xinjiang, China"	44.18	86.92	Third Pandemic	Used
CMCC49003	1976	"Xinjiang, China"	43.82	82.53	Third Pandemic	Used
CMCC51020	1954	"Jilin, China"	44.3	123.97	Third Pandemic	Used
CMCC64001	1957	"Inner Mongolia, China"	45.05	121.47	Third Pandemic	Used
CMCC640047	1964	"Qinghai, China"	36.27	100.61	Third Pandemic	Used
CMCC67001	1959	"Inner Mongolia, China"	42.97	122.35	Third Pandemic	Used
CMCC71001	1961	"Gansu, China"	38.46	94.25	Third Pandemic	Used
CMCC8211	1982	"Xinjiang, China"	44.67	82.92	Third Pandemic	Used
CMCC84033	1979	"Yunnan, China"	26.53	99.88	Third Pandemic	Used
CMCC84038	1982	"Yunnan, China"	26.53	99.88	Third Pandemic	Used
