strain	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	doogal_address	doogal_lat	doogal_long	consensus_lat	consensus_lon
I1969003	1969	"Ningxia, China"	38.1	106.34		"Ningxia, China"	37.198731	106.158094	38.1	106.34
C1975003	1975	"Qinghai, China"	33.03	96.97		"Qinghai, China"	35.744798	96.407736	33.03	96.97
I2001001	2001	"Shaanxi, China"	37.6	107.59		"Shaanxi, China"	35.393991	109.188005	37.6	107.59
CMCC18019	2001	"Qinghai, China"	33.35	97.12		"Qinghai, China"	35.744798	96.407736	33.35	97.12
CMCC21106	2001	"Xinjiang, China"	39.7	75.18		"Xinjiang, China"	42.524636	87.539585	39.7	75.18
CMCC27002	1991	"Qinghai, China"	35.24	100.63		"Qinghai, China"	35.744798	96.407736	35.24	100.63
CMCC31004	1990	"Tibet, China"	32.29	91.68		"Tibet, China"	30.153361	88.787868	32.29	91.68
CMCC347001	1996	"Tibet, China"	30.2	91.24		"Tibet, China"	30.153361	88.787868	30.2	91.24
CMCC348002	1998	"Tibet, China"	29.71	89.02		"Tibet, China"	30.153361	88.787868	29.71	89.02
CMCC38001	1979	"Xinjiang, China"	39.73	76.12		"Xinjiang, China"	42.524636	87.539585	39.73	76.12
A1956001	1956	"Xinjiang, China"	39.7	75.18		"Xinjiang, China"	42.524636	87.539585	39.7	75.18
CMCC42007	1967	"Xinjiang, China"	44.45	84.62		"Xinjiang, China"	42.524636	87.539585	44.45	84.62
CMCC43032	1980	"Xinjiang, China"	44.18	86.92		"Xinjiang, China"	42.524636	87.539585	44.18	86.92
K21985002	1985	"Xinjiang, China"	39	88.1		"Xinjiang, China"	42.524636	87.539585	39	88.1
K11973002	1973	"Xinjiang, China"	37.12	79.94		"Xinjiang, China"	42.524636	87.539585	37.12	79.94
CMCC49003	1976	"Xinjiang, China"	43.82	82.53		"Xinjiang, China"	42.524636	87.539585	43.82	82.53
CMCC51020	1954	"Jilin, China"	44.3	123.97		"Jilin, China"	43.152011	126.437138	44.3	123.97
H1958004	1958	"Jilin, China"	43.87	126.57		"Jilin, China"	43.152011	126.437138	43.87	126.57
CMCC64001	1957	"Inner Mongolia, China"	45.05	121.47		"Inner Mongolia, China"	43.37822	115.059481	45.05	121.47
CMCC640047	1964	"Qinghai, China"	36.27	100.61		"Qinghai, China"	35.744798	96.407736	36.27	100.61
CMCC67001	1959	"Inner Mongolia, China"	42.97	122.35		"Inner Mongolia, China"	43.37822	115.059481	42.97	122.35
CMCC71001	1961	"Gansu, China"	38.46	94.25		"Gansu, China"	35.751833	104.286112	38.46	94.25
J1963002	1963	"Gansu, China"	35.72	105.08		"Gansu, China"	35.751833	104.286112	35.72	105.08
F1984001	1984	"Yunnan, China"	24.69	97.93		"Yunnan, China"	24.475285	101.343106	24.69	97.93
CMCC8211	1982	"Xinjiang, China"	44.67	82.92		"Xinjiang, China"	42.524636	87.539585	44.67	82.92
E1977001	1977	"Yunnan, China"	26.53	99.88		"Yunnan, China"	24.475285	101.343106	26.53	99.88
CMCC84033	1979	"Yunnan, China"	26.53	99.88		"Yunnan, China"	24.475285	101.343106	26.53	99.88
CMCC84038	1982	"Yunnan, China"	26.53	99.88		"Yunnan, China"	24.475285	101.343106	26.53	99.88
CMCC84046	1984	"Yunnan, China"	26.53	99.88		"Yunnan, China"	24.475285	101.343106	26.53	99.88
CMCC87001	1982	"Yunnan, China"	24	97.83		"Yunnan, China"	24.475285	101.343106	24	97.83
CMCC90027	1970	"Inner Mongolia, China"	43.85	113.7		"Inner Mongolia, China"	43.37822	115.059481	43.85	113.7
CMCC91090	1970	"Inner Mongolia, China"	44.03	114.97		"Inner Mongolia, China"	43.37822	115.059481	44.03	114.97
CMCC92004	1957	"Inner Mongolia, China"	42.47	112.95		"Inner Mongolia, China"	43.37822	115.059481	42.47	112.95
CMCC92010	1971	"Inner Mongolia, China"	42.47	112.95		"Inner Mongolia, China"	43.37822	115.059481	42.47	112.95
CMCC93014	1970	"Inner Mongolia, China"	43.95	116.08		"Inner Mongolia, China"	43.37822	115.059481	43.95	116.08
CMCC95001	1970	"Inner Mongolia, China"	42.32	115		"Inner Mongolia, China"	43.37822	115.059481	42.32	115
CMCC96001	1957	"Inner Mongolia, China"	42.25	116.02		"Inner Mongolia, China"	43.37822	115.059481	42.25	116.02
CMCC96007	1989	"Inner Mongolia, China"	42.25	116.02		"Inner Mongolia, China"	43.37822	115.059481	42.25	116.02
I1970005	1970	"Inner Mongolia, China"	39.12	107.97		"Inner Mongolia, China"	43.37822	115.059481	39.12	107.97
CMCC99103	1970	"Inner Mongolia, China"	39.12	107.97		"Inner Mongolia, China"	43.37822	115.059481	39.12	107.97
CMCCK100001	1991	"Yunnan, China"	24.08	98.08		"Yunnan, China"	24.475285	101.343106	24.08	98.08
CMCCK110001	1991	"Yunnan, China"	23.92	99.02		"Yunnan, China"	24.475285	101.343106	23.92	99.02
CMCCN010025	2000	"Sichuan, China"	33.01	98.06		"Sichuan, China"	30.263803	102.805475	33.01	98.06
EV76-CN	1922 (+LAB PASSAGES)	China				Madagascar	-18.766947	46.869107	-18.766947	46.869107
G8786	1992	Georgia: Ninotsminda	NA	NA		Georgia: Ninotsminda	41.27137	43.587939	41.27137	43.587939
I160001	1987	"Xinjiang, China"	38.09	85.32		"Xinjiang, China"	42.524636	87.539585	38.09	85.32
MGJZ11	2000	"Bayan-Olgii, Mongolia"	48.18	89.5		"Bayan-Olgii, Mongolia"	48.398325	89.662591	48.18	89.5
MGJZ12	2002	"Bayan-Olgii, Mongolia"	48.18	89.5		"Bayan-Olgii, Mongolia"	48.398325	89.662591	48.18	89.5
MGJZ3	1980	"Govi-Altai, Mongolia"	45.3	95.3		"Govi-Altai, Mongolia"	45.451123	95.850577	45.3	95.3
MGJZ6	1997	"Dornogovi, Mongolia"	43.7	110.28		"Dornogovi, Mongolia"	43.965389	109.177346	43.7	110.28
MGJZ7	1997	"Dornogovi, Mongolia"	43.7	110.28		"Dornogovi, Mongolia"	43.965389	109.177346	43.7	110.28
MGJZ9	1998	"Govi-Altai, Mongolia"	45.3	95.3		"Govi-Altai, Mongolia"	45.451123	95.850577	45.3	95.3
SHAN11	2006	"Shaanxi, China"	37.6	107.59		"Shaanxi, China"	35.393991	109.188005	37.6	107.59
SHAN12	2006	"Shaanxi, China"	37.6	107.59		"Shaanxi, China"	35.393991	109.188005	37.6	107.59
YN1065	1954	"Yunnan, China"	26.53	99.88		"Yunnan, China"	24.475285	101.343106	26.53	99.88
YN1683	1977	"Yunnan, China"	26.53	99.88		"Yunnan, China"	24.475285	101.343106	26.53	99.88
YN2179	1995	Myanmar	NA	NA		Myanmar	21.916221	95.955974	21.916221	95.955974
YN2551	2002	"Yunnan, China"	23.35	102.42		"Yunnan, China"	24.475285	101.343106	23.35	102.42
YN2588	2000	"Guangxi, China"	24.8	105.34		"Guangxi, China"	23.72476	108.807619	24.8	105.34
YN472	1957	"Yunnan, China"	26.53	99.88		"Yunnan, China"	24.475285	101.343106	26.53	99.88
YN663	1982	"Yunnan, China"	24.33	97.96		"Yunnan, China"	24.475285	101.343106	24.33	97.96
E1979001	1979	"Yunnan, China"	26.53	99.88		"Yunnan, China"	24.475285	101.343106	26.53	99.88
PY-03	2006	"Peru, Jaen"			missing	"Peru, Jaen"	-5.709441	-78.798618	-5.709441	-78.798618
PY-04	2006	"Peru, Chota"			missing	"Peru, Chota"	-6.558193	-78.648384	-6.558193	-78.648384
