strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	Established	count_match	
G8786	1992	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	Yes	10	1
GEN72	-2771	"Croatia, Beli Manastir"	45.772866	18.610752	Stone Age/Bronze Age	Yes	1	1
Gyvakarai1	-2535	"Lithuania, Gyvakarai"	55.913699	24.890069	Stone Age/Bronze Age	Yes	1	1
H1958004	1958	"Jilin, China"	43.87	126.57	Third Pandemic	Yes	1	1
H1959004	1959	"Jilin, China"	45.2	124.82	Third Pandemic	Yes	1	1
Harbin 35	1940	China: Manchuria	45.323359	124.490099	Third Pandemic	No	3	0
I160001	1987	"Xinjiang, China"	38.09	85.32	Third Pandemic	Yes	2	1
I1969003	1969	"Ningxia, China"	38.1	106.34	Third Pandemic	Yes	1	1
I1970005	1970	"Inner Mongolia, China"	39.12	107.97	Third Pandemic	Yes	2	1
I1991001	1991	"Inner Mongolia, China"	41.55	108.52	Third Pandemic	Yes	1	1
I1994006	1994	"Hebei, China"	41.87	114.6	Third Pandemic	Yes	1	1
I1996	1980	Russia: Zabaicalskiy krai	50.609718	115.708895	Third Pandemic	No	1	0
I2001001	2001	"Shaanxi, China"	37.6	107.59	Third Pandemic	Yes	3	1
INS	2010	Peru	-9.189967	-75.015152	Third Pandemic	No	1	0
IP275	1995	Madagascar	-18.766947	46.869107	Third Pandemic	Yes	3	1
IP674	1952	Turkey	38.963745	35.243322	Third Pandemic	No	1	0
J1963002	1963	"Gansu, China"	35.72	105.08	Third Pandemic	Yes	1	1
J1978002	1978	"Ningxia, China"	36.56	105.64	Third Pandemic	Yes	1	1
Java (D88)	Missing	"Java, Indonesia"	-7.614529	110.712246	Third Pandemic	No	1	0
Java9	Missing	Indonesia	-0.789275	113.921327	Third Pandemic	No	1	0
K11973002	1973	"Xinjiang, China"	37.12	79.94	Third Pandemic	Yes	2	1
K1973002	1991	"China, Cangyuan County"	23.146712	99.246196	Third Pandemic	No	1	0
K21985002	1985	"Xinjiang, China"	39	88.1	Third Pandemic	Yes	2	1
KIM10+	1968	Iran/Kurdistan	35.955358	47.136213	Third Pandemic	Yes	1	1
KIM5	2007	USA: Kentucky	37.839333	-84.270018	Third Pandemic	Yes	1	1
KM-816	1990	Turkmenistan: Balkany	41.000137	55.666887	Third Pandemic	No	1	0
KM918	1989	"Russia: Kabardino-Balkaria, Gizhgit Natural Boundary"	43.47001	42.99279	Third Pandemic	No	1	0
KUMA (D11)	Missing	China: Manchuria	45.323359	124.490099	Third Pandemic	No	3	0
KunilaII	-2477	"Estonia, Kunila"	58.619533	23.82755	Stone Age/Bronze Age	Yes	1	1
M0000002	2001	"Qinghai, China"	33.35	97.12	Third Pandemic	Yes	3	1
M-1453	1991	"Kazakhstan: Guryev region, Makhambet district"	47.636863	51.703162	Third Pandemic	No	1	0
M-1484	1992	Russia	61.52401	105.318756	Third Pandemic	No	2	0
M-1763	2002	"Russia: Astrakhan region, Krasnoyarsk District"	46.358805	48.059935	Third Pandemic	No	1	0
M-1864	2009	"Russia: Kalmykia, Lagansky District"	45.217463	47.062677	Third Pandemic	No	1	0
M-519	1967	Turkmenistan: Kizyl-Atrek Region	37.616089	54.769131	Third Pandemic	No	1	0
M-549	1977	Turkmenistan: Krasnovodsk Region	41.679476	54.966509	Third Pandemic	No	1	0
M-978	1990	"Russia: Republic of Kalmykia, Ketchenerovsky District"	47.10023	45.707252	Third Pandemic	No	1	0
MG05-1020	2005	Madagascar	-18.766947	46.869107	Third Pandemic	Yes	3	1
MGJZ11	2000	"Bayan-Olgii, Mongolia"	48.18	89.5	Third Pandemic	Yes	2	1
