BioSampleAccession	BioSampleBioProjectAccession	BioSampleStrain	BioSampleSRAAccession	BioSampleAccessionSecondary
SAMN02403101	PRJNA47685	SHAN12	SRS116776	SAMN00115243
SAMN00115243	PRJNA47685	SHAN12	SRS116776	SAMN02403101
SAMN02403102	PRJNA47685	YN1065	SRS116777	SAMN00115244
SAMN00115244	PRJNA47685	YN1065	SRS116777	SAMN02403102
SAMN02403103	PRJNA47685	YN1683	SRS116778	SAMN00115245
SAMN00115245	PRJNA47685	YN1683	SRS116778	SAMN02403103
SAMN02403104	PRJNA47685	YN2179	SRS116779	SAMN00115246
SAMN00115246	PRJNA47685	YN2179	SRS116779	SAMN02403104
SAMN02403105	PRJNA47685	YN2551	SRS116780	SAMN00115247
SAMN00115247	PRJNA47685	YN2551	SRS116780	SAMN02403105
SAMN02403106	PRJNA47685	YN2588	SRS116781	SAMN00115248
SAMN00115248	PRJNA47685	YN2588	SRS116781	SAMN02403106
SAMN02403107	PRJNA47685	YN472	SRS116782	SAMN00115249
SAMN00115249	PRJNA47685	YN472	SRS116782	SAMN02403107
SAMN02403108	PRJNA47685	YN663	SRS116783	SAMN00115250
SAMN00115250	PRJNA47685	YN663	SRS116783	SAMN02403108
